Instance 1 | Big:
Plants:
1.- Max distribution: 1747
-Send cost:
      -Center 14: 579
      -Center 15: 441
      -Center 16: 692
      -Center 17: 910
      -Center 18: 102
      -Center 19: 661
      -Center 20: 176
      -Center 21: 807
      -Center 22: 580
      -Center 23: 666
      -Center 24: 862
      -Center 25: 669
      -Center 26: 263
      -Center 27: 762
      -Center 28: 256
      -Center 29: 307
      -Center 30: 417
      -Center 31: 147
      -Center 32: 754
      -Center 33: 716
      -Center 34: 718
      -Center 35: 583
      -Center 36: 452
      -Center 37: 157
      -Center 38: 134
      -Center 39: 440
3.- Max distribution: 1107
-Send cost:
      -Center 1: 789
      -Center 2: 194
      -Center 3: 626
      -Center 4: 710
      -Center 5: 549
      -Center 6: 878
      -Center 7: 700
      -Center 8: 229
      -Center 9: 829
      -Center 10: 128
      -Center 11: 179
      -Center 12: 847
      -Center 13: 547
      -Center 14: 254
      -Center 15: 309
      -Center 16: 191
      -Center 17: 895
      -Center 18: 727
      -Center 19: 625
      -Center 20: 596
      -Center 21: 888
      -Center 22: 557
      -Center 23: 976
      -Center 24: 967
      -Center 25: 564
      -Center 26: 821
      -Center 27: 854
      -Center 28: 738
      -Center 29: 363
      -Center 30: 730
      -Center 31: 228
      -Center 32: 959
      -Center 33: 125
      -Center 34: 724
      -Center 35: 827
      -Center 36: 118
      -Center 37: 538
      -Center 38: 331
      -Center 39: 153
4.- Max distribution: 1644
-Send cost:
      -Center 1: 283
      -Center 2: 565
      -Center 3: 264
      -Center 4: 679
      -Center 5: 394
      -Center 6: 993
      -Center 7: 721
      -Center 8: 176
      -Center 9: 199
      -Center 10: 118
      -Center 11: 607
      -Center 12: 990
      -Center 13: 234
      -Center 14: 110
      -Center 15: 499
      -Center 16: 781
      -Center 17: 111
      -Center 18: 133
      -Center 19: 299
      -Center 20: 178
      -Center 21: 416
      -Center 22: 666
      -Center 23: 993
      -Center 24: 399
      -Center 25: 459
      -Center 26: 868
      -Center 27: 542
      -Center 28: 839
      -Center 29: 217
      -Center 30: 406
      -Center 31: 999
      -Center 32: 179
      -Center 33: 443
      -Center 34: 950
      -Center 35: 708
      -Center 36: 792
      -Center 37: 906
      -Center 38: 355
      -Center 39: 745
5.- Max distribution: 1389
-Send cost:
      -Center 1: 913
      -Center 2: 402
      -Center 3: 753
      -Center 4: 217
      -Center 5: 993
      -Center 6: 381
      -Center 7: 640
      -Center 8: 452
      -Center 9: 247
      -Center 10: 712
      -Center 11: 916
      -Center 12: 843
      -Center 13: 229
      -Center 14: 570
      -Center 15: 890
      -Center 16: 509
      -Center 17: 616
      -Center 18: 742
      -Center 19: 319
      -Center 20: 719
      -Center 21: 904
      -Center 22: 521
      -Center 23: 605
      -Center 24: 352
      -Center 25: 790
      -Center 26: 637
      -Center 27: 531
      -Center 28: 673
      -Center 29: 312
      -Center 30: 304
      -Center 31: 930
      -Center 32: 733
      -Center 33: 942
      -Center 34: 394
      -Center 35: 205
      -Center 36: 947
      -Center 37: 121
      -Center 38: 711
      -Center 39: 345
6.- Max distribution: 986
-Send cost:
      -Center 1: 264
      -Center 2: 608
      -Center 3: 349
      -Center 4: 249
      -Center 5: 624
      -Center 6: 834
      -Center 7: 298
      -Center 8: 494
      -Center 9: 357
      -Center 10: 337
      -Center 11: 604
      -Center 12: 796
      -Center 13: 882
      -Center 14: 416
      -Center 15: 502
      -Center 16: 876
      -Center 17: 989
      -Center 18: 366
      -Center 19: 413
      -Center 20: 947
      -Center 21: 126
      -Center 22: 540
      -Center 23: 758
      -Center 24: 826
      -Center 25: 364
      -Center 26: 785
      -Center 27: 146
      -Center 28: 665
      -Center 29: 874
      -Center 30: 254
      -Center 31: 680
      -Center 32: 952
      -Center 33: 783
      -Center 34: 460
      -Center 35: 556
      -Center 36: 231
      -Center 37: 977
      -Center 38: 678
      -Center 39: 908
7.- Max distribution: 1604
-Send cost:
      -Center 1: 297
      -Center 2: 615
      -Center 3: 225
      -Center 4: 952
      -Center 5: 659
      -Center 6: 249
      -Center 7: 157
      -Center 8: 505
      -Center 9: 567
      -Center 10: 585
      -Center 11: 600
      -Center 12: 762
      -Center 13: 626
      -Center 14: 867
      -Center 15: 991
      -Center 16: 307
      -Center 17: 923
      -Center 18: 433
      -Center 19: 207
      -Center 20: 408
      -Center 21: 299
      -Center 22: 748
      -Center 23: 751
      -Center 24: 929
      -Center 25: 544
      -Center 26: 922
      -Center 27: 710
      -Center 28: 414
      -Center 29: 856
      -Center 30: 430
      -Center 31: 686
      -Center 32: 202
      -Center 33: 579
      -Center 34: 490
      -Center 35: 576
      -Center 36: 975
      -Center 37: 195
      -Center 38: 125
      -Center 39: 763
8.- Max distribution: 1344
-Send cost:
      -Center 1: 824
      -Center 2: 882
      -Center 3: 105
      -Center 4: 572
      -Center 5: 718
      -Center 6: 872
      -Center 7: 368
      -Center 8: 803
      -Center 9: 561
      -Center 10: 622
      -Center 11: 981
      -Center 12: 894
      -Center 13: 158
      -Center 14: 806
      -Center 15: 838
      -Center 16: 213
      -Center 17: 467
      -Center 18: 281
      -Center 19: 489
      -Center 20: 343
      -Center 21: 704
      -Center 22: 304
      -Center 23: 953
      -Center 24: 837
      -Center 25: 665
      -Center 26: 940
      -Center 27: 337
      -Center 28: 260
      -Center 29: 522
      -Center 30: 697
      -Center 31: 157
      -Center 32: 531
      -Center 33: 597
      -Center 34: 809
      -Center 35: 442
      -Center 36: 273
      -Center 37: 210
      -Center 38: 985
      -Center 39: 119
9.- Max distribution: 1247
-Send cost:
      -Center 1: 397
      -Center 2: 837
      -Center 3: 850
      -Center 4: 286
      -Center 5: 678
      -Center 6: 439
      -Center 7: 566
      -Center 8: 457
      -Center 9: 446
      -Center 10: 740
      -Center 11: 781
      -Center 12: 697
      -Center 13: 228
      -Center 14: 977
      -Center 15: 669
      -Center 16: 104
      -Center 17: 309
      -Center 18: 443
      -Center 19: 598
      -Center 20: 317
      -Center 21: 513
      -Center 22: 712
      -Center 23: 743
      -Center 24: 122
      -Center 25: 452
      -Center 26: 970
      -Center 27: 794
      -Center 28: 384
      -Center 29: 160
      -Center 30: 406
      -Center 31: 155
      -Center 32: 146
      -Center 33: 876
      -Center 34: 682
      -Center 35: 360
      -Center 36: 970
      -Center 37: 702
      -Center 38: 141
      -Center 39: 513
10.- Max distribution: 953
-Send cost:
      -Center 1: 951
      -Center 2: 716
      -Center 3: 380
      -Center 4: 277
      -Center 5: 657
      -Center 6: 612
      -Center 7: 553
      -Center 8: 473
      -Center 9: 982
      -Center 10: 164
      -Center 11: 583
      -Center 12: 900
      -Center 13: 865
      -Center 14: 203
      -Center 15: 224
      -Center 16: 959
      -Center 17: 333
      -Center 18: 165
      -Center 19: 894
      -Center 20: 218
      -Center 21: 285
      -Center 22: 510
      -Center 23: 390
      -Center 24: 317
      -Center 25: 344
      -Center 26: 100
      -Center 27: 746
      -Center 28: 444
      -Center 29: 996
      -Center 30: 764
      -Center 31: 893
      -Center 32: 502
      -Center 33: 895
      -Center 34: 251
      -Center 35: 433
      -Center 36: 779
      -Center 37: 641
      -Center 38: 697
      -Center 39: 507
11.- Max distribution: 1740
-Send cost:
      -Center 1: 637
      -Center 2: 606
      -Center 3: 604
      -Center 4: 981
      -Center 5: 545
      -Center 6: 549
      -Center 7: 314
      -Center 8: 537
      -Center 9: 751
      -Center 10: 441
      -Center 11: 155
      -Center 12: 685
      -Center 13: 795
      -Center 14: 300
      -Center 15: 976
      -Center 16: 859
      -Center 17: 538
      -Center 18: 548
      -Center 19: 396
      -Center 20: 739
      -Center 21: 948
      -Center 22: 219
      -Center 23: 818
      -Center 24: 972
      -Center 25: 873
      -Center 26: 632
      -Center 27: 336
      -Center 28: 754
      -Center 29: 856
      -Center 30: 718
      -Center 31: 297
      -Center 32: 154
      -Center 33: 865
      -Center 34: 230
      -Center 35: 326
      -Center 36: 107
      -Center 37: 811
      -Center 38: 100
      -Center 39: 386
12.- Max distribution: 1397
-Send cost:
      -Center 1: 140
      -Center 2: 798
      -Center 3: 823
      -Center 4: 658
      -Center 5: 198
      -Center 6: 674
      -Center 7: 790
      -Center 8: 572
      -Center 9: 537
      -Center 10: 479
      -Center 11: 578
      -Center 12: 327
      -Center 13: 751
      -Center 14: 829
      -Center 15: 354
      -Center 16: 511
      -Center 17: 536
      -Center 18: 827
      -Center 19: 754
      -Center 20: 348
      -Center 21: 845
      -Center 22: 431
      -Center 23: 362
      -Center 24: 377
      -Center 25: 132
      -Center 26: 297
      -Center 27: 616
      -Center 28: 375
      -Center 29: 208
      -Center 30: 894
      -Center 31: 772
      -Center 32: 616
      -Center 33: 621
      -Center 34: 358
      -Center 35: 985
      -Center 36: 738
      -Center 37: 487
      -Center 38: 532
      -Center 39: 742
13.- Max distribution: 1465
-Send cost:
      -Center 1: 428
      -Center 2: 190
      -Center 3: 401
      -Center 4: 898
      -Center 5: 904
      -Center 6: 462
      -Center 7: 520
      -Center 8: 984
      -Center 9: 776
      -Center 10: 707
      -Center 11: 196
      -Center 12: 339
      -Center 13: 117
      -Center 14: 891
      -Center 15: 241
      -Center 16: 913
      -Center 17: 760
      -Center 18: 976
      -Center 19: 630
      -Center 20: 653
      -Center 21: 475
      -Center 22: 494
      -Center 23: 295
      -Center 24: 314
      -Center 25: 565
      -Center 26: 579
      -Center 27: 501
      -Center 28: 751
      -Center 29: 224
      -Center 30: 140
      -Center 31: 201
      -Center 32: 363
      -Center 33: 736
      -Center 34: 817
      -Center 35: 252
      -Center 36: 140
      -Center 37: 193
      -Center 38: 767
      -Center 39: 770
14.- Max distribution: 1269
-Send cost:
      -Center 1: 416
      -Center 2: 784
      -Center 3: 472
      -Center 4: 509
      -Center 5: 706
      -Center 6: 185
      -Center 7: 237
      -Center 8: 643
      -Center 9: 878
      -Center 10: 537
      -Center 11: 442
      -Center 12: 335
      -Center 13: 599
      -Center 14: 295
      -Center 15: 133
      -Center 16: 730
      -Center 17: 153
      -Center 18: 757
      -Center 19: 711
      -Center 20: 982
      -Center 21: 857
      -Center 22: 689
      -Center 23: 626
      -Center 24: 100
      -Center 25: 138
      -Center 26: 814
      -Center 27: 299
      -Center 28: 484
      -Center 29: 961
      -Center 30: 699
      -Center 31: 290
      -Center 32: 651
      -Center 33: 778
      -Center 34: 895
      -Center 35: 402
      -Center 36: 282
      -Center 37: 343
      -Center 38: 596
      -Center 39: 475
15.- Max distribution: 1444
-Send cost:
      -Center 1: 116
      -Center 2: 637
      -Center 3: 480
      -Center 4: 832
      -Center 5: 609
      -Center 6: 550
      -Center 7: 903
      -Center 8: 639
      -Center 9: 756
      -Center 10: 523
      -Center 11: 432
      -Center 12: 169
      -Center 13: 253
      -Center 14: 292
      -Center 15: 950
      -Center 16: 988
      -Center 17: 369
      -Center 18: 144
      -Center 19: 591
      -Center 20: 834
      -Center 21: 835
      -Center 22: 102
      -Center 23: 762
      -Center 24: 405
      -Center 25: 674
      -Center 26: 230
      -Center 27: 580
      -Center 28: 589
      -Center 29: 663
      -Center 30: 616
      -Center 31: 864
      -Center 32: 956
      -Center 33: 901
      -Center 34: 768
      -Center 35: 935
      -Center 36: 688
      -Center 37: 249
      -Center 38: 408
      -Center 39: 336
16.- Max distribution: 1560
-Send cost:
      -Center 1: 439
      -Center 2: 546
      -Center 3: 197
      -Center 4: 307
      -Center 5: 549
      -Center 6: 510
      -Center 7: 804
      -Center 8: 200
      -Center 9: 164
      -Center 10: 629
      -Center 11: 474
      -Center 12: 152
      -Center 13: 575
      -Center 14: 138
      -Center 15: 551
      -Center 16: 407
      -Center 17: 506
      -Center 18: 999
      -Center 19: 472
      -Center 20: 775
      -Center 21: 537
      -Center 22: 407
      -Center 23: 1000
      -Center 24: 694
      -Center 25: 351
      -Center 26: 791
      -Center 27: 522
      -Center 28: 650
      -Center 29: 145
      -Center 30: 356
      -Center 31: 680
      -Center 32: 314
      -Center 33: 377
      -Center 34: 739
      -Center 35: 212
      -Center 36: 936
      -Center 37: 888
      -Center 38: 734
      -Center 39: 177
17.- Max distribution: 1378
-Send cost:
      -Center 1: 141
      -Center 2: 710
      -Center 3: 383
      -Center 4: 718
      -Center 5: 709
      -Center 6: 374
      -Center 7: 107
      -Center 8: 403
      -Center 9: 992
      -Center 10: 680
      -Center 11: 371
      -Center 12: 773
      -Center 13: 477
      -Center 14: 880
      -Center 15: 794
      -Center 16: 879
      -Center 17: 708
      -Center 18: 817
      -Center 19: 340
      -Center 20: 619
      -Center 21: 185
      -Center 22: 847
      -Center 23: 610
      -Center 24: 813
      -Center 25: 130
      -Center 26: 845
      -Center 27: 192
      -Center 28: 171
      -Center 29: 752
      -Center 30: 504
      -Center 31: 220
      -Center 32: 867
      -Center 33: 415
      -Center 34: 434
      -Center 35: 638
      -Center 36: 136
      -Center 37: 957
      -Center 38: 572
      -Center 39: 646
18.- Max distribution: 1319
-Send cost:
      -Center 1: 978
      -Center 2: 968
      -Center 3: 256
      -Center 4: 550
      -Center 5: 873
      -Center 6: 354
      -Center 7: 642
      -Center 8: 130
      -Center 9: 277
      -Center 10: 333
      -Center 11: 810
      -Center 12: 664
      -Center 13: 543
      -Center 14: 356
      -Center 15: 556
      -Center 16: 163
      -Center 17: 761
      -Center 18: 172
      -Center 19: 321
      -Center 20: 134
      -Center 21: 726
      -Center 22: 222
      -Center 23: 407
      -Center 24: 351
      -Center 25: 687
      -Center 26: 947
      -Center 27: 150
      -Center 28: 103
      -Center 29: 353
      -Center 30: 598
      -Center 31: 682
      -Center 32: 859
      -Center 33: 681
      -Center 34: 670
      -Center 35: 694
      -Center 36: 569
      -Center 37: 430
      -Center 38: 518
      -Center 39: 188
19.- Max distribution: 1562
-Send cost:
      -Center 1: 383
      -Center 2: 224
      -Center 3: 599
      -Center 4: 787
      -Center 5: 738
      -Center 6: 223
      -Center 7: 356
      -Center 8: 173
      -Center 9: 291
      -Center 10: 396
      -Center 11: 804
      -Center 12: 187
      -Center 13: 709
      -Center 14: 976
      -Center 15: 158
      -Center 16: 827
      -Center 17: 374
      -Center 18: 457
      -Center 19: 260
      -Center 20: 317
      -Center 21: 381
      -Center 22: 500
      -Center 23: 966
      -Center 24: 475
      -Center 25: 405
      -Center 26: 389
      -Center 27: 698
      -Center 28: 786
      -Center 29: 680
      -Center 30: 371
      -Center 31: 926
      -Center 32: 128
      -Center 33: 726
      -Center 34: 875
      -Center 35: 142
      -Center 36: 923
      -Center 37: 955
      -Center 38: 812
      -Center 39: 558
20.- Max distribution: 1035
-Send cost:
      -Center 1: 417
      -Center 2: 722
      -Center 3: 654
      -Center 4: 330
      -Center 5: 665
      -Center 6: 497
      -Center 7: 610
      -Center 8: 757
      -Center 9: 453
      -Center 10: 727
      -Center 11: 123
      -Center 12: 612
      -Center 13: 931
      -Center 14: 513
      -Center 15: 973
      -Center 16: 835
      -Center 17: 858
      -Center 18: 553
      -Center 19: 305
      -Center 20: 440
      -Center 21: 540
      -Center 22: 913
      -Center 23: 679
      -Center 24: 575
      -Center 25: 269
      -Center 26: 218
      -Center 27: 178
      -Center 28: 421
      -Center 29: 853
      -Center 30: 276
      -Center 31: 734
      -Center 32: 823
      -Center 33: 652
      -Center 34: 406
      -Center 35: 266
      -Center 36: 166
      -Center 37: 917
      -Center 38: 544
      -Center 39: 976
21.- Max distribution: 1571
-Send cost:
      -Center 1: 155
      -Center 2: 316
      -Center 3: 975
      -Center 4: 502
      -Center 5: 280
      -Center 6: 920
      -Center 7: 110
      -Center 8: 909
      -Center 9: 993
      -Center 10: 919
      -Center 11: 753
      -Center 12: 355
      -Center 13: 588
      -Center 14: 548
      -Center 15: 492
      -Center 16: 564
      -Center 17: 545
      -Center 18: 964
      -Center 19: 439
      -Center 20: 132
      -Center 21: 730
      -Center 22: 712
      -Center 23: 842
      -Center 24: 313
      -Center 25: 106
      -Center 26: 586
      -Center 27: 975
      -Center 28: 224
      -Center 29: 640
      -Center 30: 165
      -Center 31: 124
      -Center 32: 234
      -Center 33: 318
      -Center 34: 750
      -Center 35: 114
      -Center 36: 711
      -Center 37: 153
      -Center 38: 845
      -Center 39: 379
22.- Max distribution: 1128
-Send cost:
      -Center 1: 977
      -Center 2: 915
      -Center 3: 997
      -Center 4: 511
      -Center 5: 829
      -Center 6: 488
      -Center 7: 376
      -Center 8: 259
      -Center 9: 968
      -Center 10: 744
      -Center 11: 436
      -Center 12: 218
      -Center 13: 372
      -Center 14: 233
      -Center 15: 210
      -Center 16: 764
      -Center 17: 490
      -Center 18: 413
      -Center 19: 753
      -Center 20: 852
      -Center 21: 171
      -Center 22: 184
      -Center 23: 123
      -Center 24: 526
      -Center 25: 885
      -Center 26: 763
      -Center 27: 764
      -Center 28: 976
      -Center 29: 947
      -Center 30: 852
      -Center 31: 241
      -Center 32: 964
      -Center 33: 814
      -Center 34: 474
      -Center 35: 413
      -Center 36: 330
      -Center 37: 510
      -Center 38: 267
      -Center 39: 304
23.- Max distribution: 1445
-Send cost:
      -Center 1: 384
      -Center 2: 592
      -Center 3: 455
      -Center 4: 336
      -Center 5: 949
      -Center 6: 377
      -Center 7: 979
      -Center 8: 659
      -Center 9: 436
      -Center 10: 247
      -Center 11: 588
      -Center 12: 123
      -Center 13: 941
      -Center 14: 998
      -Center 15: 523
      -Center 16: 119
      -Center 17: 170
      -Center 18: 440
      -Center 19: 855
      -Center 20: 187
      -Center 21: 684
      -Center 22: 733
      -Center 23: 817
      -Center 24: 767
      -Center 25: 848
      -Center 26: 498
      -Center 27: 387
      -Center 28: 537
      -Center 29: 242
      -Center 30: 738
      -Center 31: 884
      -Center 32: 625
      -Center 33: 726
      -Center 34: 812
      -Center 35: 659
      -Center 36: 232
      -Center 37: 420
      -Center 38: 107
      -Center 39: 147
24.- Max distribution: 1385
-Send cost:
      -Center 1: 963
      -Center 2: 831
      -Center 3: 286
      -Center 4: 767
      -Center 5: 794
      -Center 6: 786
      -Center 7: 608
      -Center 8: 960
      -Center 9: 789
      -Center 10: 930
      -Center 11: 716
      -Center 12: 480
      -Center 13: 869
      -Center 14: 126
      -Center 15: 639
      -Center 16: 340
      -Center 17: 771
      -Center 18: 497
      -Center 19: 715
      -Center 20: 828
      -Center 21: 306
      -Center 22: 874
      -Center 23: 804
      -Center 24: 749
      -Center 25: 298
      -Center 26: 225
      -Center 27: 467
      -Center 28: 238
      -Center 29: 739
      -Center 30: 252
      -Center 31: 457
      -Center 32: 214
      -Center 33: 723
      -Center 34: 121
      -Center 35: 417
      -Center 36: 932
      -Center 37: 910
      -Center 38: 196
      -Center 39: 311
Centers:
1.- Max manage: 687 | Operation cost: 1094
-Send cost:
      -Zone 1: 800
      -Zone 2: 340
      -Zone 3: 525
      -Zone 4: 193
      -Zone 5: 434
      -Zone 6: 336
      -Zone 7: 304
      -Zone 8: 837
      -Zone 9: 616
      -Zone 10: 136
      -Zone 11: 451
      -Zone 12: 480
      -Zone 13: 721
      -Zone 14: 805
      -Zone 15: 265
      -Zone 16: 277
      -Zone 17: 875
      -Zone 18: 878
      -Zone 19: 112
      -Zone 20: 150
      -Zone 21: 811
      -Zone 22: 309
      -Zone 23: 883
      -Zone 24: 962
      -Zone 25: 533
      -Zone 26: 337
      -Zone 27: 766
      -Zone 28: 698
      -Zone 29: 553
      -Zone 30: 192
      -Zone 31: 750
2.- Max manage: 266 | Operation cost: 904
-Send cost:
      -Zone 1: 702
      -Zone 2: 284
      -Zone 3: 755
      -Zone 4: 809
      -Zone 5: 978
      -Zone 6: 576
      -Zone 7: 671
      -Zone 8: 917
      -Zone 9: 676
      -Zone 10: 549
      -Zone 11: 813
      -Zone 12: 433
      -Zone 13: 193
      -Zone 14: 323
      -Zone 15: 554
      -Zone 16: 462
      -Zone 17: 561
      -Zone 18: 989
      -Zone 19: 201
      -Zone 20: 325
      -Zone 21: 867
      -Zone 22: 827
      -Zone 23: 766
      -Zone 24: 624
      -Zone 25: 791
      -Zone 26: 807
      -Zone 27: 883
      -Zone 28: 809
      -Zone 29: 132
      -Zone 30: 809
      -Zone 31: 173
3.- Max manage: 838 | Operation cost: 1179
-Send cost:
      -Zone 1: 843
      -Zone 2: 931
      -Zone 3: 690
      -Zone 4: 639
      -Zone 5: 238
      -Zone 6: 550
      -Zone 7: 153
      -Zone 8: 697
      -Zone 9: 566
      -Zone 10: 385
      -Zone 11: 769
      -Zone 12: 353
      -Zone 13: 387
      -Zone 14: 689
      -Zone 15: 687
      -Zone 16: 937
      -Zone 17: 606
      -Zone 18: 546
      -Zone 19: 581
      -Zone 20: 437
      -Zone 21: 358
      -Zone 22: 988
      -Zone 23: 345
      -Zone 24: 606
      -Zone 25: 938
      -Zone 26: 974
      -Zone 27: 933
      -Zone 28: 193
      -Zone 29: 531
      -Zone 30: 890
      -Zone 31: 348
4.- Max manage: 775 | Operation cost: 885
-Send cost:
      -Zone 1: 361
      -Zone 2: 752
      -Zone 3: 315
      -Zone 4: 703
      -Zone 5: 530
      -Zone 6: 389
      -Zone 7: 346
      -Zone 8: 765
      -Zone 9: 865
      -Zone 10: 240
      -Zone 11: 855
      -Zone 12: 659
      -Zone 13: 653
      -Zone 14: 907
      -Zone 15: 624
      -Zone 16: 659
      -Zone 17: 176
      -Zone 18: 127
      -Zone 19: 159
      -Zone 20: 315
      -Zone 21: 667
      -Zone 22: 298
      -Zone 23: 897
      -Zone 24: 446
      -Zone 25: 604
      -Zone 26: 924
      -Zone 27: 412
      -Zone 28: 199
      -Zone 29: 451
      -Zone 30: 196
      -Zone 31: 719
5.- Max manage: 460 | Operation cost: 1315
-Send cost:
      -Zone 1: 311
      -Zone 2: 305
      -Zone 3: 332
      -Zone 4: 100
      -Zone 5: 447
      -Zone 6: 378
      -Zone 7: 174
      -Zone 8: 225
      -Zone 9: 279
      -Zone 10: 451
      -Zone 11: 984
      -Zone 12: 475
      -Zone 13: 515
      -Zone 14: 407
      -Zone 15: 296
      -Zone 16: 775
      -Zone 17: 752
      -Zone 18: 789
      -Zone 19: 224
      -Zone 20: 776
      -Zone 21: 814
      -Zone 22: 979
      -Zone 23: 370
      -Zone 24: 596
      -Zone 25: 268
      -Zone 26: 154
      -Zone 27: 202
      -Zone 28: 828
      -Zone 29: 574
      -Zone 30: 691
      -Zone 31: 308
6.- Max manage: 543 | Operation cost: 973
-Send cost:
      -Zone 1: 167
      -Zone 2: 422
      -Zone 3: 795
      -Zone 4: 220
      -Zone 5: 727
      -Zone 6: 535
      -Zone 7: 394
      -Zone 8: 123
      -Zone 9: 568
      -Zone 10: 379
      -Zone 11: 836
      -Zone 12: 417
      -Zone 13: 468
      -Zone 14: 158
      -Zone 15: 148
      -Zone 16: 858
      -Zone 17: 381
      -Zone 18: 966
      -Zone 19: 611
      -Zone 20: 768
      -Zone 21: 565
      -Zone 22: 943
      -Zone 23: 546
      -Zone 24: 821
      -Zone 25: 464
      -Zone 26: 822
      -Zone 27: 363
      -Zone 28: 421
      -Zone 29: 312
      -Zone 30: 727
      -Zone 31: 370
7.- Max manage: 461 | Operation cost: 1009
-Send cost:
      -Zone 1: 921
      -Zone 2: 219
      -Zone 3: 988
      -Zone 4: 155
      -Zone 5: 503
      -Zone 6: 884
      -Zone 7: 126
      -Zone 8: 718
      -Zone 9: 971
      -Zone 10: 592
      -Zone 11: 719
      -Zone 12: 277
      -Zone 13: 487
      -Zone 14: 416
      -Zone 15: 417
      -Zone 16: 548
      -Zone 17: 149
      -Zone 18: 197
      -Zone 19: 605
      -Zone 20: 598
      -Zone 21: 159
      -Zone 22: 597
      -Zone 23: 484
      -Zone 24: 659
      -Zone 25: 504
      -Zone 26: 396
      -Zone 27: 586
      -Zone 28: 909
      -Zone 29: 519
      -Zone 30: 654
      -Zone 31: 572
8.- Max manage: 185 | Operation cost: 784
-Send cost:
      -Zone 1: 536
      -Zone 2: 405
      -Zone 3: 503
      -Zone 4: 267
      -Zone 5: 524
      -Zone 6: 198
      -Zone 7: 775
      -Zone 8: 325
      -Zone 9: 489
      -Zone 10: 142
      -Zone 11: 513
      -Zone 12: 385
      -Zone 13: 594
      -Zone 14: 637
      -Zone 15: 569
      -Zone 16: 606
      -Zone 17: 763
      -Zone 18: 813
      -Zone 19: 131
      -Zone 20: 293
      -Zone 21: 359
      -Zone 22: 380
      -Zone 23: 784
      -Zone 24: 610
      -Zone 25: 236
      -Zone 26: 535
      -Zone 27: 539
      -Zone 28: 717
      -Zone 29: 476
      -Zone 30: 336
      -Zone 31: 836
9.- Max manage: 856 | Operation cost: 1404
-Send cost:
      -Zone 1: 732
      -Zone 2: 733
      -Zone 3: 630
      -Zone 4: 999
      -Zone 5: 757
      -Zone 6: 496
      -Zone 7: 342
      -Zone 8: 726
      -Zone 9: 446
      -Zone 10: 665
      -Zone 11: 140
      -Zone 12: 307
      -Zone 13: 902
      -Zone 14: 539
      -Zone 15: 430
      -Zone 16: 566
      -Zone 17: 189
      -Zone 18: 806
      -Zone 19: 611
      -Zone 20: 648
      -Zone 21: 155
      -Zone 22: 987
      -Zone 23: 347
      -Zone 24: 204
      -Zone 25: 841
      -Zone 26: 108
      -Zone 27: 140
      -Zone 28: 217
      -Zone 29: 148
      -Zone 30: 346
      -Zone 31: 430
10.- Max manage: 504 | Operation cost: 1122
-Send cost:
      -Zone 1: 191
      -Zone 2: 475
      -Zone 3: 344
      -Zone 4: 963
      -Zone 5: 743
      -Zone 6: 900
      -Zone 7: 268
      -Zone 8: 904
      -Zone 9: 200
      -Zone 10: 781
      -Zone 11: 112
      -Zone 12: 565
      -Zone 13: 573
      -Zone 14: 536
      -Zone 15: 752
      -Zone 16: 409
      -Zone 17: 674
      -Zone 18: 165
      -Zone 19: 372
      -Zone 20: 770
      -Zone 21: 928
      -Zone 22: 896
      -Zone 23: 323
      -Zone 24: 415
      -Zone 25: 662
      -Zone 26: 801
      -Zone 27: 418
      -Zone 28: 629
      -Zone 29: 955
      -Zone 30: 473
      -Zone 31: 285
11.- Max manage: 607 | Operation cost: 1205
-Send cost:
      -Zone 1: 242
      -Zone 2: 387
      -Zone 3: 866
      -Zone 4: 400
      -Zone 5: 813
      -Zone 6: 929
      -Zone 7: 653
      -Zone 8: 364
      -Zone 9: 153
      -Zone 10: 156
      -Zone 11: 437
      -Zone 12: 865
      -Zone 13: 928
      -Zone 14: 470
      -Zone 15: 222
      -Zone 16: 877
      -Zone 17: 656
      -Zone 18: 477
      -Zone 19: 748
      -Zone 20: 199
      -Zone 21: 768
      -Zone 22: 769
      -Zone 23: 284
      -Zone 24: 523
      -Zone 25: 149
      -Zone 26: 118
      -Zone 27: 717
      -Zone 28: 312
      -Zone 29: 739
      -Zone 30: 215
      -Zone 31: 611
12.- Max manage: 449 | Operation cost: 748
-Send cost:
      -Zone 1: 400
      -Zone 2: 997
      -Zone 3: 563
      -Zone 4: 454
      -Zone 5: 520
      -Zone 6: 561
      -Zone 7: 363
      -Zone 8: 1000
      -Zone 9: 445
      -Zone 10: 184
      -Zone 11: 358
      -Zone 12: 104
      -Zone 13: 182
      -Zone 14: 437
      -Zone 15: 652
      -Zone 16: 269
      -Zone 17: 694
      -Zone 18: 552
      -Zone 19: 138
      -Zone 20: 883
      -Zone 21: 144
      -Zone 22: 285
      -Zone 23: 267
      -Zone 24: 517
      -Zone 25: 678
      -Zone 26: 178
      -Zone 27: 313
      -Zone 28: 350
      -Zone 29: 516
      -Zone 30: 544
      -Zone 31: 770
13.- Max manage: 832 | Operation cost: 808
-Send cost:
      -Zone 1: 401
      -Zone 2: 380
      -Zone 3: 285
      -Zone 4: 172
      -Zone 5: 611
      -Zone 6: 238
      -Zone 7: 611
      -Zone 8: 602
      -Zone 9: 667
      -Zone 10: 770
      -Zone 11: 177
      -Zone 12: 735
      -Zone 13: 977
      -Zone 14: 877
      -Zone 15: 693
      -Zone 16: 350
      -Zone 17: 199
      -Zone 18: 908
      -Zone 19: 818
